TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
96720HLTRM666KA	1307206007179	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
96720HLTRM666KA	1307206007193	000071432	BENZENE	TRI	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
96720HLTRM666KA	1307206007229	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
96720HLTRM666KA	1307206007243	000100414	ETHYLBENZENE	TRI	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
96720HLTRM666KA	1307206007256	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				YES	
96720HLTRM666KA	1307206007268	000110543	N-HEXANE	TRI	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
96720HLTRM666KA	1307206007270	000091203	NAPHTHALENE	TRI	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
96720HLTRM666KA	1307206007282	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
96720HLTRM666KA	1307206007294	000108883	TOLUENE	TRI	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
96720HLTRM666KA	1307206007306	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2007	NO	CHEVRON HILO TERMINAL	666 KALANIANAOLE AVE	HILO	HAWAII	HI	96720	YES	NO	NO	NO														19.727199	-155.054777									CHEVRON USA INC.	009140559	0														NO				NO	
